quiz.csv,question , japanese  ,  koreanTemplate   ,   option1   , option2     ,option3 , option4 , correctAnswer  ,      explanation   ,     vocabulary
1,次の文を韓国語にすると一番自然なのはどれでしょうか。,「今日も上司に一言いわれた。」,오늘도 ______________.,❶상사가 한 말 했다,❷상사가 한 소리 말했다,"❸상사에게 한 소리 들었다
",❹상사에게 한 소리 말해졌다,❸,"上司に=상사에게
一言=한 소리
いわれる=듣다(聞く) 
小言の意味では한 말と言わない。
❶は상사가 한 소리 했다になる。
❷한 소리 말하다は소리に言葉の意味があるので不自然。
❹말해지다とは言わない。",
2,次の文を韓国語にすると一番自然なのはどれでしょうか。,「メールで返事してほしいです。」,메일로 ______________.,❶대답해 주세요,❷대답을 주시면 좋아요,❸답장을 듣고 싶어요,❹답장을 주시면 좋겠어요,❹ ,"❶ 대답→답장
대답は声で答える時のみ使い、メールでは使いません。
❷ ~면 좋아요 ～したらいいです。
라면에 김치를 넣으면 좋아요
ラーメンにキムチを入れたらいいです
❹~면 좋겠어요 ～してほしいです
여기에 써 주시면 좋겠어요
ここに書いてほしいです。",
3,次の文を韓国語にすると一番自然なのはどれでしょうか。,「そうするわけにはいきません」,   그렇게 __________________.,❶할 것은 없습니다,❷할 수는 없습니다,❸할 셈은 없습니다,❹할 리는 없습니다,❷,"❶그렇게 할 것은 없습니다
=そうすることはありません
*그렇게까지 할 것은 없어
=そこまですることはない
❸그렇게 할 셈은 없습니다 (x)
* 그렇게 할 셈이야?
=そうする気なの？
❹그렇게 할 리는 없습니다.
=そうするはずはありません。",
4,次の文を韓国語にすると一番自然なのはどれでしょうか。,「なんでそんなことを言うの？」,  왜 ____________________.,❶ 그런 것을 말해?,❷ 그런 말을 말해?,❸ 그런 것을 해?,❹ 그런 소리를 해?,❹,"❶の「そんなこと」を그런 것と言いがちですが、「そんなこと」は그런 말または그런 소리が自然です。
❶왜 그런 이야기를 해?　だとOKです。
❷왜 그런 말을 해?　だとOKです。
❸왜 그런 짓을 해?(なんでそんなことをするの)　に変えると自然な韓国語になります。",
5,次の文を韓国語にすると一番自然なのはどれでしょうか。,「それでも僕はやっていない」,"  그래도 내가 ______________.
",❶ 하지 않아,❷ 하지 않았어,❸ 하지 않고 있어,❹ 하고 있지 않았어,❷," 
~していない=~하지 않았어
~하지 않아は「元々~しない」という意味になります。
❸〜하지 않고 있어 〜しないでいる
❹〜하지 않고 있었어 〜しないでいた

※ 僕、宿題まだやってない
= 나, 숙제 아직 안 했어
",
6,次の文を韓国語にすると一番自然なのはどれでしょうか。,「その店は学生時代によく行っていました」,  그 가게는 ________________________.,❶ 학생 시절에 자주 갔었어요,❷ 학생 시대에 자주 가고 있었어요,❸ 학생 시절에 자주 가 있었어요,❹ 학생 시대에 자주 가고 있어요,"❶

","ある時の習慣のことを言う時は～았/었다を使います。
～고 있었다は特定の瞬間に何をしていたかを説明するときだけ使います。
지진이 났을 때 밥을 먹고 있었어요.
地震が起きた時ご飯を食べていました。

❸ 가 있다は既にそこに到着している時
❹ 가고 있어요今向かっている
※ 학생시대 (✖)",
7,次の文を韓国語にすると一番自然なのはどれでしょうか。,"「トイレで水を流しました」
","  화장실에서 ______________.
",❶물이 흘렀어요,❷물을 흘렸어요,❸물이 내렸어요,❹물을 내렸어요,❹,"❶물이 흐르다水が流れる←水漏れしているような感じ
❷물을 흘리다水をこぼす←トイレで水筒などの水をこぼしてしまった感じです。
❸물이 내리다　「水が流した」なので不自然です
❹물을 내리다
※ 내리다は降ろす、降りる、降るとの意味ですが、トイレでは水を流すの意味になります。",
8,次の文を韓国語にすると一番自然なのはどれでしょうか。,「ゴミは決められた所に出してください」,  쓰레기는 ________________________.,❶정해진 곳에 내세요,❷정해진 곳에 내놓으세요,❸결정된 곳에 내세요,❹결정된 곳에 내놓으세요,❷,"必要なものを出す、払う=내다
手放す、捨てる=내놓다
なので❶はバツ印
❸결정된→정해진
결정된は主に会議内容や決定事項などに主に使います。
例)
결정된 사항(決定した事項)
회의에서 결정된 것이 없다.
会議でまだ決まったことはない。",
9,次の文を韓国語にすると一番自然なのはどれでしょうか。,「プロでも失敗することがある」,프로라도 ________________.,❶ 실수하는 것이 있다,❷ 실수할 것이 있다,❸ 실수하는 경우가 있다,❹ 실수할 경우가 있다,"❸
","「〜することがある」
→「～する場合がある」とのニュアンスで、一般的に〜する「習慣」や「傾向」がある、というような時は❸～하는 경우가 있다を使います。
例)
우리회사는 일이 많으면 야근하는 경우도 있습니다.
うちの会社は仕事が多いと残業することもあります。
",
10,次の文を韓国語にすると一番自然なのはどれでしょうか。,"「身分証をお持ちですか」
",신분증을 ______________.,❶가지세요?,❷가지고 있나요?,❸가져 계세요?,❹가지고 계세요?,❹,"❶가지다+~세요→持ちなさい＝あげます		
❷가지고 있나요？→持っていますか？も文法的には間違いではありません。		
❸가져 계세요/가져 있다 (X)		
～을/를 가지다は他動詞なので～아/어 있다を付けられません。		
❹가지고 계세요が正解です。		",
11,次の文を韓国語にすると一番自然なのはどれでしょうか。,「こうした方がよく覚えられます」, 이렇게 ______________________.,❶하는 것이 잘 외울 수 있어요,❷하는 것이 잘 외우게 돼요,❸하는 편이 잘 외워져요,❹하는 편이 잘 외울 수 있게 돼요,❸,"❶は意味はわかるが不自然です。		
〜하는 것이+외울 수 있다は (✖)		
이렇게 하면 잘 외울 수 있어요(〇)		
（こうすればよく覚えられます）		
*～이/가 ～을 수 있다 (✖)		
～을/를 ～을 수 있다 (〇)		
❸외워지다は無理なく「覚えられる」の意味でよく使います。		
❷、❹～게 되다は「～ことになる」		",
12,次の文を韓国語にすると一番自然なのはどれでしょうか。,"「夜中２時なのにまだ起きているんですか？」
"," 새벽 2시인데 아직도 _________________.
",❶ 안 자 있어요?,❷ 안 자고 있어요?,❸ 일어나 있어요?,❹ 일어나고 있어요?,❷,"❶자다+～아/어 있다 (✖)			
❸일어나 있다はベッドから起き上がっている状態です。			
왜 아직도 일어나 있어요			
(なぜ寝転ばずまだ立っているの）			
❹일어나고 있다は今まさにベッドから起きあがりつつある状態です。			
그는 지금 일어나고 있어요			
彼は今起き上がっている。			
（今まさに起き上がりつつある最中）			",
13,次の文を韓国語にすると一番自然なのはどれでしょうか。,"「なぜ安定した職場を辞めるんですか」
","  왜  _____________ 그만두세요?
",❶ 안정한 직장을,❷ 안정하는 직장을,❸ 안정되는 직장을,❹ 안정된 직장을,❹,"安定するは안정되다を使います。

안정하다は使わないので❶안정한、❷안정하는は不自然です。
❸안정되다は形容詞なので動詞連体形である～는は付けられません。",
14,次の文を韓国語にすると一番自然なのはどれでしょうか。,"「今日面接なのでとても緊張する」
",  오늘 _________________.,❶ 면접이니까 아주 긴장되.,❷ 면접이라서 아주 긴장함.,❸ 면접이라서 아주 긴장돼.,❹ 면접이니까 아주 긴장해.,❸,"❶긴장되には+어が必要です。

❷긴장함 緊張した(過去形)

❹긴장해, 긴장해요は使いません。

긴장하고 있다、긴장하지마、긴장했다は使います。",
15,次の文を韓国語にすると一番自然なのはどれでしょうか。,「彼は何度も自分のことが好きなのか聞いた」,"    그는 ______________ 물었다.
",❶ 몇번을 자기를 사랑하는지,❷ 몇번이나 자기가 사랑하는지,❸ 몇번이고 자기를 사랑하느냐고,❹ 몇번도 자기를 사랑하느냐고,❸ ,"何度も=몇 번이나=몇 번이고もOKです。
❶몇 번을=何度か
❷자기가 사랑하는 自分が好きなのか
❹몇 번도は使わないので、注意してください！",
16,次の文を韓国語にすると一番自然なのはどれでしょうか。,「今忙しいから掃除は明日やります」,   지금 _______ 청소는 내일 ________.,❶ 바쁘니까 / 합니다,❷ 바빠서 / 할게요,❸ 바빠서 / 할 거예요,❹ 바쁘니까 / 하겠습니다,❶,"このクイズは間違いを選ぶ問題です。

掃除を明日やるので「やります」は未来の表現にしないといけません。現在形の합니다/해요は普段の習慣、決まりなど言う時のみ使いますので、내일と一緒に使います。のは間違いです。

未来を表す❷～을게요❸～을 거예요❹～겠はOKです。",
17,次の文を韓国語にすると一番自然なのはどれでしょうか。, 「韓国ドラマを観て韓国のことが好きになった」,"   한국드라마를 _________________.
",❶ 봐서 한국이 좋아졌다,❷ 보고 한국을 좋아하게 됐다,❸ 보니까 한국이 좋아졌다,❹ 보니 한국이 좋아하게 됐다,"❷
","❶봐서→보고
何かを見て、読んで、聞いて(いいと思ったら)→읽다, 보다, 듣다などは～고を使います。
❸보니까 見たら
❹보니=보니까の縮約です。
※좋아지다=좋아하게 되다",
18,次の文を韓国語にすると一番自然なのはどれでしょうか。,「あなたに出会って幸せだった」,"   당신을 _________________.
","❶ 만나고 행복했어

",❷ 만나니까 행복이었어,❸ 만났으니까 행복이었어,❹ 만나서 행복했어,❹,"❶만나고: 会ったことと関係ない

당신을 만나고 (그 후에) 학교에 갔어요. OKです。

❷만나니까 (習慣)会うから

당신을 만나니까 행복해 OKです。

❸만났으니까 (一度)会ったから

어제 당신 만났으니까 오늘은 안 만나도 돼 OKです。

* 행복이었어→ 행복했어",
19,次の文を韓国語にすると一番自然なのはどれでしょうか。,"「前もって言ってくれればよかったのに 。」
",   미리 _________________.,❶ 이야기해 주지,❷ 이야기해 주지 그랬는데,❸ 이야기해 주면 좋았는데,❹ 이야기해 주면 잘됐을걸,❶,"前もって言ってくれればよかったのに
=미리 이야기해 주지 그랬어→그랬어は省略可
=미리 이야기해주면 좋았을 텐데◯
❷～해 주지 그랬는데✗　このような表現はない
❸～해 주면 좋았는데✗　このような表現はない
미리 이야기해 주면 좋았는데→좋았을 텐데だったらOKです。
좋았는데は以前「何かがよかったのに」という時に使います。
[例] 그 가게 좋았는데 / 그 사람 좋았는데
❹～해 주지 잘됐을걸✗　このような表現はない",
20,次の文を韓国語にすると一番自然なのはどれでしょうか。,"「それは二度と買いません」
","　그건 __________안 사요.
",❶ 두 번도,❷ 두 번 다시,❸ 두 번이라도,❹ 두 번이라,❷,"❶두 번도２回も
소리내서 읽는 건 두 번도 좋고, 세 번도 좋아요
音読するのは２回（するの）もいいし、３回（するの）もいいです。
❸두 번이라도 ２回だとしても
❹두 번이라(서) ２回なので
二度と= 두 번 다시 
二度と来るな = 두 번 다시 오지 마",
